run,suite,images,pixel_accuracy,precision,recall,f1,iou,alpha_mae,text_alpha_mae,soft_edge_mae,background_leakage
baseline,banners,144,0.9600691215071098,0.7555626191989828,0.9891100448764093,0.8567046318443937,0.7493292247185886,0.05308571396098058,0.0675755158946332,0.08125161040677792,0.05519462660191089
baseline,edge_cases,144,0.9498624801635742,0.7169764650163887,0.8920511893024042,0.7949890812665731,0.6597359981618897,0.07628652842282059,0.07326739956624806,0.10654340190295544,0.07121638823628018
banner_run1,banners,144,0.9961058601500496,0.9817547468164725,0.9860567364119746,0.9839010391529772,0.9683122186571224,0.007159384499472152,0.052683590445667505,0.05499299928649432,0.0019794654443911794
banner_run1,edge_cases,144,0.9823271433512369,0.9448374986060689,0.8897743913467092,0.9164796269421334,0.8458351589233918,0.030992744268991776,0.06185150249964661,0.08423943946965867,0.01839245706731971
banner_run2,banners,144,0.9959975146742724,0.9787814296429206,0.9882577409798953,0.9834967590052782,0.9675293883400271,0.008616876279120333,0.05405624624755648,0.05723843014695578,0.0036178252794090643
banner_run2,edge_cases,144,0.981813112894694,0.905800375684516,0.9298057793620882,0.917646110462547,0.8478244678870287,0.025133977864041097,0.060964448325749904,0.07937579071666631,0.015014909065087068
